Date,Model,Token Size,#Params,#Features,Inference GFLOPs,Training PFLOPs,Model Type
01/06/2012,AlexNet,227 x 227,61,,1.4,460,CV
04/09/2014,VGG-19,224 x 224,138,,39,11000,CV
10/09/2014,Seq2Seq,,11000,,,11000,NLP
02/12/2015,InceptionV3,299 x 299,24,,5.7,100000,CV
10/12/2015,ResNet152,224 x 224,55,,23,11000,CV
26/02/2016,InceptionV4,299 x 299,82,,24.6,,CV
07/10/2016,Xception,299 x 299,23,,17,450000,CV
16/11/2016,ResNeXt101(64x4d),224 x 224,83,,31,12000,CV
03/12/2016,DenseNet201,224 x 224,20,,8.9,2800,CV
06/12/2017,Transformer,512,65,77,54,23000,NLP
15/02/2018,ELMo,,94,,,3300,NLP
11/06/2018,GPT-1,512,110,85,96,57000,NLP
11/10/2018,BERT Large,512,330,230,340,250000,NLP
14/02/2019,GPT-2,1024,1500,2000,3400,,NLP
26/07/2019,RoBERTa Large,512,1500,2000,3400,4300000,NLP
17/08/2019,Megatron,1024,8300,4700,18000,8100000,NLP
26/09/2019,ALBERT xxl,512,235,450,2500,31000000,NLP
13/02/2020,Microsoft T-NLG,1024,17000,5700,36000,28000000,NLP
23/03/2020,ELECTRA Large,128,330,38,79,3100000,NLP
28/05/2020,GPT-3,2048,175000,63000,740000,310000000,NLP
20/06/2020,Baidu RecSys-C,N/A,2000000,N/A,~O(0.1),,Other
20/06/2020,Baidu RecSys-E,N/A,10000000,N/A,~O(0.1),,Other
30/06/2020,GShard,,600000,,,,NLP
01/01/2021,Switch Transformer,N/A,1600000,N/A,N/A,N/A,NLP
14/03/2023,GPT-4,8192,1800000,N/A,128GPUs,21500000000,NLP
14/12/2023,Gemini (Nano-1),N/A,1800,N/A,N/A,N/A,NLP
14/12/2023,Gemini (Nano-2),N/A,3250,N/A,N/A,N/A,NLP
14/12/2023,Gemini (Ultra*),128000,1600000,N/A,N/A,N/A,NLP
